Date,Open,High,Low,Close,Volume,SMA,Signal,Position,Exec_Price,Exit_Reason,Market_Return,Strategy_Return,Cost,Market_Equity,Strategy_Equity
2015-01-02,8288.7001953125,8410.599609375,8288.7001953125,8395.4501953125,101900,,0,0.0,8288.7001953125,Signal,0.0,0.0,0.0,100000.0,100000.0
2015-01-05,8407.9501953125,8445.599609375,8363.900390625,8378.400390625,118200,,0,0.0,8407.9501953125,Signal,0.0144465805482197,0.0,0.0,101444.65805482196,100000.0
2015-01-06,8325.2998046875,8327.849609375,8111.35009765625,8127.35009765625,172800,,0,0.0,8325.2998046875,Signal,-0.0097705047592798,-0.0,0.0,100453.4925404938,100000.0
2015-01-07,8118.64990234375,8151.2001953125,8065.4501953125,8102.10009765625,164100,,0,0.0,8118.64990234375,Signal,-0.0247623933816621,-0.0,0.0,97966.02364164423,100000.0
2015-01-08,8191.39990234375,8243.5,8167.2998046875,8234.599609375,143800,,0,0.0,8191.39990234375,Signal,0.0090203733196126,0.0,0.0,98849.71374752984,100000.0
2015-01-09,8285.4501953125,8303.2998046875,8190.7998046875,8284.5,148000,,0,0.0,8285.4501953125,Signal,0.0115411135365544,0.0,0.0,99990.549516946,100000.0
2015-01-12,8291.349609375,8332.599609375,8245.599609375,8323.0,103200,,0,0.0,8291.349609375,Signal,0.000771544752675,0.0,0.0,100067.69670074288,100000.0
2015-01-13,8346.150390625,8356.650390625,8267.900390625,8299.400390625,129600,,0,0.0,8346.150390625,Signal,0.0066689159871298,0.0,0.0,100735.03976306572,100000.0
2015-01-14,8307.25,8326.4501953125,8236.650390625,8277.5498046875,146100,,0,0.0,8307.25,Signal,-0.0046013544162862,-0.0,0.0,100271.52214297716,100000.0
2015-01-15,8424.5,8527.099609375,8380.5498046875,8494.150390625,232100,,0,0.0,8424.5,Signal,0.014173701184708,0.0,0.0,101692.74073516756,100000.0
2015-01-16,8504.0498046875,8530.75,8452.25,8513.7998046875,176000,,0,0.0,8504.0498046875,Signal,0.0095021975216136,0.0,0.0,102659.04524414738,100000.0
2015-01-19,8550.0498046875,8570.9501953125,8531.5,8550.7001953125,125400,,0,0.0,8550.0498046875,Signal,0.0054687113209426,0.0,0.0,103220.4579270712,100000.0
2015-01-20,8575.099609375,8707.900390625,8574.5,8695.599609375,158700,,0,0.0,8575.099609375,Signal,0.0029893084610433,0.0,0.0,103529.01571530534,100000.0
2015-01-21,8719.650390625,8741.849609375,8689.599609375,8729.5,185900,,0,0.0,8719.650390625,Signal,0.0169165619589075,0.0,0.0,105280.37072419804,100000.0
2015-01-22,8745.849609375,8774.150390625,8727.0,8761.400390625,175500,,0,0.0,8745.849609375,Signal,0.0030641418362016,0.0,0.0,105602.96471266486,100000.0
2015-01-23,8827.9501953125,8866.400390625,8795.400390625,8835.599609375,191200,,0,0.0,8827.9501953125,Signal,0.0094469006344686,0.0,0.0,106600.5854270107,100000.0
2015-01-27,8871.349609375,8925.0498046875,8825.4501953125,8910.5,192000,,0,0.0,8871.349609375,Signal,0.0049756609763991,0.0,0.0,107130.99379998117,100000.0
2015-01-28,8902.75,8985.0498046875,8874.0498046875,8914.2998046875,185100,,0,0.0,8902.75,Signal,0.0035990518416302,0.0,0.0,107516.56380051268,100000.0
2015-01-29,8901.5,8966.650390625,8861.25,8952.349609375,256300,,0,0.0,8901.5,Signal,-8.088224478528506e-05,-0.0,0.0,107507.86761948088,100000.0
2015-01-30,8996.599609375,8996.599609375,8775.099609375,8808.900390625,267300,,0,0.0,8996.599609375,Signal,0.010743072579394,0.0,0.0,108662.83244417283,100000.0
2015-02-02,8802.5,8840.7998046875,8751.099609375,8797.400390625,210100,,0,0.0,8802.5,Signal,-0.0215152508612014,-0.0,0.0,106324.92434484776,100000.0
2015-02-03,8823.150390625,8837.2998046875,8726.650390625,8756.5498046875,208700,,0,0.0,8823.150390625,Signal,0.0024054926394017,0.0,0.0,106580.68816774424,100000.0
2015-02-04,8789.150390625,8792.849609375,8704.400390625,8723.7001953125,195300,,0,0.0,8789.150390625,Signal,-0.003793975053663,-0.0,0.0,106176.32369563356,100000.0
2015-02-05,8733.099609375,8838.4501953125,8683.650390625,8711.7001953125,173600,,0,0.0,8733.099609375,Signal,-0.0063177457511139,-0.0,0.0,105505.52867773655,100000.0
2015-02-06,8696.849609375,8726.2001953125,8645.5498046875,8661.0498046875,171300,,0,0.0,8696.849609375,Signal,-0.0040913506361409,-0.0,0.0,105073.86856586453,100000.0
2015-02-09,8584.400390625,8605.5498046875,8516.349609375,8526.349609375,146800,,0,0.0,8584.400390625,Signal,-0.0128703558366394,-0.0,0.0,103721.53048828956,100000.0
2015-02-10,8478.099609375,8646.25,8470.5,8565.5498046875,196200,,0,0.0,8478.099609375,Signal,-0.0123234938053221,-0.0,0.0,102443.3188498386,100000.0
2015-02-11,8603.2998046875,8651.9501953125,8593.650390625,8627.400390625,161600,,0,0.0,8603.2998046875,Signal,0.0148270072174865,0.0,0.0,103962.24667780842,100000.0
2015-02-12,8676.9501953125,8732.5498046875,8599.25,8711.5498046875,158800,,0,0.0,8676.9501953125,Signal,0.0086202379886195,0.0,0.0,104858.4259860027,100000.0
2015-02-13,8741.5,8822.099609375,8729.650390625,8805.5,221900,,0,0.0,8741.5,Signal,0.0074987510995883,0.0,0.0,105644.73322316636,100000.0
2015-02-16,8831.400390625,8870.099609375,8793.400390625,8809.349609375,136400,,0,0.0,8831.400390625,Signal,0.0103438446497685,0.0,0.0,106737.50593169304,100000.0
2015-02-18,8811.5498046875,8894.2998046875,8808.900390625,8869.099609375,147600,,0,0.0,8811.5498046875,Signal,-0.002188204190508,-0.0,0.0,106503.94247392892,100000.0
2015-02-19,8883.0498046875,8913.4501953125,8794.4501953125,8895.2998046875,213300,,0,0.0,8883.0498046875,Signal,0.008173873905118,0.0,0.0,107374.49227010876,100000.0
2015-02-20,8895.5,8899.9501953125,8816.2998046875,8833.599609375,197600,,0,0.0,8895.5,Signal,0.0014610914677317,0.0,0.0,107531.37622461664,100000.0
